links,company_name,domain
https://www.mondelezinternational.com/snacking-made-right/mindful-snacking/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/snacking-made-right/climate-action/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/snacking-made-right/environmental-impact/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/snacking-made-right/social-sustainability/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/snacking-made-right/packaging-innovation/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/snacking-made-right/sustainable-ingredients/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/snacking-made-right/impact-investing/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/snacking-made-right/mondelez-international-foundation/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/snacking-made-right/partners-and-industry-memberships/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/careers/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/careers/early-careers/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/careers/early-careers/central-europe/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/united-kingdom/early-careers/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/united-states/early-careers/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/careers/career-areas/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/careers/our-world/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/careers/jobs/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/news/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/news?filter=brands/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/news?filter=business/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/news?filter=careers%20and%20people/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/news?filter=community%20impact/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/news?filter=sustainability/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/media/press-releases/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/news/mdlz-in-the-news/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/snacking-made-right/esg-news/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/snacking-made-right/reporting-and-disclosure/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/news-and-events/annual-meeting-of-shareholders/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/corporate-governance/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/corporate-governance/our-board-and-committees/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/corporate-governance/board-leadership/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/corporate-governance/audit-committee/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/corporate-governance/governance-membership-and-public-affairs-committee/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/corporate-governance/human-resources-and-compensation-committee/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/corporate-governance/finance-committee/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/corporate-governance/governance-practices-and-policies/,Mondelez International,mondelezinternational.com
https://www.mondelezinternational.com/investors/corporate-governance/board-oversight-of-corporate-citizenship/,Mondelez International,mondelezinternational.com
